# MSU JPN 402 Article/Drama Vocab and Kanji			
# Compiled in Anki format by Kenneth Hanson, Spring 2013			
# Last updated 6/16/12			
# To import in Anki, delete the line number column and export as a Unicode (UTF-8) tab-delimited text file			
# Note: Kanji that aren't in the main vocab are listed last for each article/clip			
# Note: Anki will not import facts with 'duplicate items' -- vocab that appear in multiple articles will only be imported once.			
			
# Item	Reading	Meaning	Card Tags
			
# Article 1: Shuushoku			
(Xに) 携わる	たずさ（わる）	＝関（かか）わる	article03, vocab-opt
北米	ほくべい	＝北アメリカ	article03, vocab-rec
単に	たん（に）	＝ただ; just, simply	article03, vocab-know
違和感	いわかん	a sense of discomfort; difference	article03, vocab-rec
堪能する	たんのうする	＝楽しむ	article03, vocab-opt
発売する	はつばい（する）	＝売り始める	article03, vocab-know, kanji-rw
主人公	しゅじんこう	main character	article03, vocab-know
(Xが) 響く	ひび（く）	＝聞こえる	article03, vocab-opt
Xが伝わる	（つた）わる	X gets through (Intr.)    Cf. 伝える	article03, vocab-know, kanji-rw
頭を抱える	かか（える）	＝悩（なや）む	article03, vocab-rec
Xいわく		＝Xが言うには; according to X	article03, vocab-rec
理屈が通る	りくつ（が）とお（る）	to make the logic understood (Intr.)；Cf. 理屈を通す (Tr.)；	article03, vocab-know
答え	こた（え）	answer	article03, vocab-know, kanji-rw
用意する	ようい（する）	＝準備（じゅんび）する; prepare	article03, vocab-know, kanji-rw
いかにも		＝本当に、とても	article03, vocab-know
哲学	てつがく	philosophy	article03, vocab-know
欧米	おうべい	ヨーロッパとアメリカ	article03, vocab-know
前述	ぜんじゅつ	mentioned before	article03, vocab-rec
生命	せいめい	＝命; life	article03, vocab-know
大樹	たいじゅ	＝大きい木	article03, vocab-opt
(Xに) 由来する	ゆらい（する）	to be derived; to be trace back to	article03
御神木	ごしんぼく	holy tree	article03, vocab-opt
しめ縄	（しめ）なわ	holy rope	article03, vocab-opt
飾る	かざ（る）	to decorate	article03, vocab-know
神道	しんとう	Shintoism	article03, vocab-know
信者	しんじゃ	believer	article03, vocab-know, kanji-rw
抵抗感	ていこうかん	sense of resistance	article03, vocab-rec
設定	せってい	setting	article03, vocab-know, kanji-r
よって		＝だから、このような理由で	article03, vocab-know
論理的	ろんりてき	logical	article03, vocab-know, kanji-r
省く	はぶ（く）	to omit; skip	article03, vocab-rec
観念的	かんねんてき	ideological	article03, vocab-opt
限る	かぎ（る）	to limit	article03, vocab-know, kanji-r
主語	しゅご	subject	article03, vocab-rec
述語	じゅつご	predicate (verb, adjective, Nだ)	article03, vocab-rec
目的語	もくてきご	object	article03, vocab-rec
登場人物	とうじょうじんぶつ	＝キャラクター	article03, vocab-know, kanji-r
V-stemがち [1]		＝よくV; tend to do… 	article03, vocab-know
口数	くちかず	how often/much one speaks	article03, vocab-rec
V -negativeず		＝V-negativeない	article03, vocab-opt
Xを伝える	つた（える）	to tell; communicate; pass on N	article03, vocab-know, kanji-rw
推測する	すいそく（する）	to guess	article03, vocab-know
重要な	じゅうよう（な）	＝大切な、大事な	article03, article05, vocab-know, kanji-rw
苦笑する	くしょう（する）	＝こまって笑う	article03, vocab-rec
成功	せいこう	success	article03, vocab-know, kanji-rw
縁の下の力持ち	えん（の）した（の）ちからも（ち）	a person who works behind the scenes (proverb)	article03, vocab-opt
#			
小説	しょうせつ	novel	article03, vocab-old, kanji-rw
実に	じつに	actually, truly	article03, vocab-old, kanji-rw
消費者	しょうひしゃ	consumer	article03, vocab-old, kanji-rw
性格	せいかく	character; personality	article03, vocab-old, kanji-rw
#労働	ろうどう	labor	article03, vocab-old, kanji-r
判断	はんだん	judgement	article03, vocab-old, kanji-r
			
			
			
# Article 5: Prius			
末	まつ	＝終わり	article04, vocab-know
販売	はんばい	＝売る	article04, vocab-know
自動車	じどうしゃ	＝車; automobile	article04, vocab-know, kanji-rw
三代目	さんだいめ	the third generation	article04, vocab-know
仕様	しよう	specific	article04, vocab-rec
追加する	ついか（する）	to add	article04, vocab-know, kanji-r
設定する	せってい（する）	to set up	article04, vocab-know, kanji-r
価格	かかく	＝値段（ねだん）; price	article04, article06, vocab-know, kanji-r
円台	えんだい	… yen level	article04, vocab-rec
後半	こうはん	last half	article04, vocab-know
見込む	みこ（む）	＝予測（よそく）する;  to estimate; anticipate	article04, vocab-rec
ニッケル		nickel	article04, vocab-opt
水素	すいそ	hydrogen	article04, vocab-opt
電池	でんち	battery	article04, vocab-know, kanji-rw
出力	しゅつりょく	to output; generate power	article04, vocab-opt
リチウム		lithium	article04, vocab-opt
イオン		ion	article04, vocab-opt
載せる	のせる	＝乗せる;  put on something 	article04, vocab-rec
家庭用	かていよう	household use	article04, article06, vocab-know
ボルト		volt	article04, vocab-know
電源	でんげん	electric power supply	article04, vocab-know
充電する	じゅうでん（する）	to charge (electrically)	article04, vocab-know
燃費	ねんぴ	fuel cost	article04, vocab-know
#実態	じったい	actual condition	article04, vocab-know, kanji-r
(Xを) もとに		based on X	article04, vocab-know
国土交通省	こくどこうつうしょう	Ministry of Land, Infrastructure, Transport and Tourism	article04, vocab-opt
計算する	けいさん（する）	to calculate	article04, vocab-know, kanji-rw
（方）式	ほうしき	formula	article04, vocab-know
X当たり	あ（たり）	per X	article04, vocab-know
以降	いこう	＝以後; after that	article04, vocab-rec
併用する	へいよう（する）	＝両方使う	article04, vocab-rec
通常の	つうじょう（の）	usual; normal	article04, vocab-know
距離	きょり	distance	article04, vocab-know, kanji-r
場合	ばあい	when; in case of	article04, vocab-know, kanji-r
二酸化炭素	にさんかたんそ	carbon dioxide	article04, vocab-know
排出する	はいしゅつ（する）	to emit	article04, vocab-know
量	りょう	amount	article04, vocab-know, kanji-rw
(Xで) 済む	す（む）	to require X only	article04, vocab-know, kanji-r
市販	しはん	sale at a market	article04, vocab-rec
欧州	おうしゅう	Europe	article04, vocab-know
法人	ほうじん	＝企業、会社	article04, vocab-rec
団体	だんたい	organization	article04, vocab-rec
対象	たいしょう	target	article04, article08, vocab-know, kanji-r
当初から	とうしょ（から）	＝最初から	article04, vocab-rec
大幅に	おおはば（に）	to a large degree; substantially	article04, vocab-rec
(Xを) 増やす	ふ（やす）	to increase X　Cf. (Xが) 増える	article04, vocab-know
#			
発表	はっぴょう	presentation	article04, vocab-old, kanji-rw
予定	よてい	plan	article04, vocab-old, kanji-rw
走る	はしる	to run	article04, vocab-old, kanji-rw
始める	はじめる	to start (vt)	article04, vocab-old, kanji-rw
増やす	ふやす	to increase (vt)	article04, vocab-old, kanji-rw
家庭	かてい	home; family	article04, vocab-old, kanji-r
交通	こうつう	traffic	article04, vocab-old, kanji-r
			
			
			
# Article 5: Keitai			
携帯 (電話)	けいたい（でんわ）	cell phone	article05, vocab-know
過半数	かはんすう	more than half; majority	article05, vocab-know, kanji-r
通	つう	the counter for mails	article05, vocab-know
全国調査	ぜんこくちょうさ	national survey	article05, vocab-know
所有する	しょゆう（する）	＝所持（しょじ）する、持つ	article05, vocab-rec
送信する	そうしん（する）	メールを送る; to send an E-mail 	article05, vocab-know, kanji-rw
受信する	じゅしん（する）	受け取る; to receive an E-mail 	article05, vocab-know, kanji-rw
深夜	しんや	midnight	article05, vocab-know, kanji-r
それぞれ		＝各; each; respectively	article05, vocab-know
(Xに) 達する	たっする	to reach X	article05, vocab-know
協議会	きょうぎかい	committee, association	article05, vocab-rec
(Xに) 関する	かん（する）	＝Xについて（の）; regarding X	article05, vocab-know, kanji-rw
意識	いしき	conscious; awareness; opinion	article05, vocab-know
(Xが) 明らかになる	あき（らか）になる	X becomes clear; X is revealed (Intr.)   Cf. (Xを) 明らかにする (Tr.)	article05, vocab-rec
(Xが) 届く	とど（く）	X is delivered (Intr.); Cf. (Xを) 届ける(Tr.)	article05, vocab-know, kanji-rw
(Xに) 親しむ	した（しむ）	to familiarize with X	article05, vocab-know, kanji-r
(Xが) 増える	ふ（える）	X increases  (Intr.) ; Cf. (Xを) 増やす (Tr.)	article05, vocab-know, kanji-rw
裏付ける	うらづ（ける）	to back up; support	article05, vocab-opt
作法	さほう	manners; etiquette	article05, vocab-rec
早期	そうき	early stage	article05, vocab-rec
教育	きょういく	education	article05, vocab-know, kanji-rw
ますます		increasingly; more and more	article05, vocab-know
#重要な	じゅうよう（な）	＝大切な; 大事な; important	article05, vocab-know, kanji-rw
利用	りよう	＝使うこと; use	article05, vocab-know, kanji-rw
約	やく	approximately; about	article05, vocab-know
保護者	ほごしゃ	guardian	article05, vocab-know
回答	かいとう	＝答え; answer	article05, vocab-rec
まとめる		to collect; put together	article05, vocab-know
＃割	わり	# times 10%　　例：3割 = 30%	article05, vocab-know
40代	だい	in one’s 40s	article05, vocab-know
自宅	じたく	＝自分の家	article05, vocab-know, kanji-r
低年齢層	ていねんれいそう	group of earlier age	article05, vocab-opt
#拡大する	かくだい（する）	＝大きくなる; 広がる; expand	article05, vocab-know, kanji-r
かまわず		without regard; regardless	article05, vocab-know
やり取り	（やり）と（り）	communication; correspondence	article05, vocab-rec
返信する	へんしん（する）	＝返す; to return an E-mail 	article05, vocab-know, kanji-rw
(Xを) 手放す	てばな（す）	to let go of; relinquish	article05, vocab-rec
(Xに) 依存する	いぞん（する）	to depend on X	article05, vocab-know, kanji-r
傾向	けいこう	tendency	article05, vocab-know, kanji-r
(Xが) 現れる	あらわ（れる）	s.t. appears; becomes visible	article05, vocab-know
顕著	けんちょ	remarkable; striking	article05, vocab-opt
メル友	メルとも	＝メール友達, including those whom one has never met face-to-face	article05, vocab-rec
(Xに) 上る	のぼ（る）	to go up to X	article05, vocab-know
裏掲示板	うらけいじばん	lit. back-side of bulletin board; unofficial electric bulletin board on which people post comments on a specific topic	article05, vocab-opt
書き込み	か（き）こ（み）	electric writing	article05, vocab-know, kanji-r
許可	きょか	permission	article05, vocab-know, kanji-r
相談する	そうだん（する）	to consult; seek advice	article05, vocab-know, kanji-r
#			
調査	ちょうさ	survey, investigation	article05, vocab-old, kanji-rw
			
			
			
# Article 6: Denshi Shoseki			
猛追	もうつい	hectic chase	article06, vocab-opt
電子書籍	でんししょせき	digital book	article06, vocab-know
同時に	どうじ（に）	at the same time	article06, vocab-know
#発売する	はつばい（する）	to start to sell	article06, vocab-know
閲覧する	えつらん（する）	to browse	article06, vocab-rec
多機能	たきのう	multi-function	article06, vocab-know
端末	たんまつ	(electric) terminal	article06, vocab-know
専用	せんよう	exclusive use	article06, vocab-know, kanji-r
想定価格	そうていかかく	nominal price	article06, vocab-rec
#家庭	かてい	household	article06, vocab-know
携帯	けいたい	portable	article06, vocab-know
店頭販売	てんとうはんばい	＝店で売ること	article06, vocab-opt
購入する	こうにゅう（する）	＝買う	article06, vocab-know, kanji-r
申込書	もうしこみしょ	application form	article06, vocab-know
郵送	ゆうそう	＝郵便で送ること; send by mail	article06, vocab-know
申込用紙	もうしこみようし	＝申込書	article06, vocab-know
(Xに) 特化する	とっか（する）	to specialize in X (product)	article06, vocab-rec
文庫本	ぶんこぼん	paperback book (15x10 cm)	article06, vocab-know
(XをYに）抑える	おさ（える）	to hold; keep X in the rage of Y	article06, vocab-know, kanji-r
保存する	ほぞん（する）	to save (data)	article06, vocab-know
充電	じゅうでん（する）	to charge (electrically)	article06, vocab-know, kanji-r
本棚	ほんだな	bookshelf	article06, vocab-know
感覚	かんかく	sense	article06, vocab-know
手軽な	てがる（な）	quick and easy	article06, vocab-know
#担当者	たんとうしゃ	person in charge	article06, vocab-know
成否	せいひ	＝成功するかしないか	article06, vocab-rec
握る	にぎる	to hold; grip	article06, vocab-know
充実	じゅうじつ	fulfillment	article06, vocab-know, kanji-r
購読	こうどく	subscription (paper, magazine, etc.)	article06, vocab-know
自動的に	じどうてき（に）	automatically	article06, vocab-know
定期（的に）	ていきてき（に）	at fixed intervals; on a regular schedule	article06, vocab-know
配信	はいしん	delivery (electric data)	article06, vocab-know
特徴	とくちょう	characteristic	article06, vocab-know, kanji-r
(Xに) 対応する	たいおうする	to respond to X	article06, vocab-know
